ID	citation	author	title	year	source	details	doi	link	remarks
133		Fairmaire L	Notes sur quelques Coléoptères des pays Somalis. 	1893		Annales de la Société Entomologique de Belgique 37(4): 144–156. 			
24		Gebien H	Katalog der Tenebrioniden (Col. Heteromera). Teil I.	1937a		Pubblicazioni del Museo Entomologico «Pietro Rossi» 2: 505–883.			
29		Péringuey LA	Descriptions of new genera and species of Coleoptera from South Africa, chiefly from Zambezia.	1896		The Transaction of the Entomological Society of London 1896: 149–189			
75		Bertoloni J	Illustratio rerum naturalium Mozambici. Dissertatio 1 de Coleopteris.	1849		Novi Commentarii Academiae Scientiarum Instituti Bononiensis 10: 381–434. 			
79		Gebien H	Käfer aus der Familie Tenebrionidae gesammelt auf der “Hamburger deutschsüdwestafrikanischenStudienreise 1911”.	1920		Hamburgische Universität Abhandlungen aus der Auslandskunde Band 5. Reihe C Naturwissenschaften Band 2. Hamburg: L. Friederichsen & Co., 168 pp.			
135		Ferrer & Martínez, 2012	Contribución al concimiento del género Trachynotus Latreille: un caso de homonimia en el género Sepidium Fabricius (Coleoptera: Tenebrionidae: Pimeliinae). 	2012		Boletin Sociedad Entomológica Aragonesa 51: 283–287.			
144		Ferrer J	Tenebrionidae (Coleoptera) de Namibia, avec descriptions de 12 espèces nouvelles.	2004a		Mitteilungen aus dem Museum für Naturkunde in Berlin, Zoologische Reihe 80(2): 181–250.			
147		Kirchsberg O	Vieta millingenii nov. spec. und Arthrodeis arabicus nov. spec.	1877		Deutsche entomologische Zeitschrift 21: 203–204. 			
140		Fabricius JC	Entomologica systematica emendata et aucta. Secundum classes, ordines, genera, species adjectis synonimis, locis, observationibus, descriptionibus. Tom I. Pars 1.	1792		Christ. Gottl. Proft, Hafniae, xx + 330 pp. 			
145		Ancey CF	Descriptions de Coléoptères nouveaux.	1881b		Le Naturaliste 58: 461–462.			
158		Rotrou M	Description d’une nouvelle espèce de Sepidium (Coléoptère) d’Algérie.	1943		Entomologiste 40: 193–204. 			
1		Fairmaire L	Énumération des Coléopteres recueillis par M. le Dr. Hans Schinz dans le sud de l'Afrique	1888a		Annales de la Société Entomologique de France 6 173–202			
25		Koch C	Die Tenebrioniden des Südlichen Afrikas – XXXVI Neue Melanolophus (Molurini) aus dem Museum Triest.	1956		Atti del Museo Civico di Storia Naturale di Trieste 20: 170–176.			
104		Ferrer, 2004b	Tenebriónidos nuevos o interesantes del Museo de Génova (Coleoptera).	2004b		Annali del Musei Civico do Storia Naturale Giacomo Doria 96: 507–546.			
139		Escalera MM	Zoologischer Atlas, enthaltend Abbildungen und Beschreibungen neuer Tierarten, während des Flottscapitains v. Kotzebue zweiter Reise um die Welt, auf der Russisch-Kaiserlichen Kriegsschlupp Predpriaetie in den Jahren 1823–1826 beobachtet. 	1940		Drittes Heft. G. Reimer, Berlin, 18 pp.			
32		Péringuey LA	Sixth contribution to the South African Coleopterous fauna	1904		Annals of the South African Museum 3: 167–300.			
93		Fabricius JC	Mantissa Insectorum sistens eorum species detectas, adiectis characteribus, genericis, differentiis specificis, emendationibus, observationibus. Tom 1. 	1787		Christ. Gottl. Proft, Hafniae, 348 pp.  			
126		Schuster A,	Neue Tenebrioniden aus Cyrenaica (IV). 	1928		Bollettino della Società Entomologica Italiana 60: 122–124.			
