ID	taxonID	nameID	status	referenceID	link	remarks
	1261	1430	Synonym	8,8,19		
	746	927	Synonym	6,19		
	810	988	Synonym	10,109		
	1249	1421	Synonym	71,33,19		
	378	579	Synonym	27,19		
	1054	1152	Synonym	42,23		
	1102	1166	Synonym	42,19		
	794	980	Synonym	91,16		
	1287	1454	Synonym	100,20,19		
	1314	1469	Synonym	21,8,19		
	665	841	Synonym	31,32		
	672	848	Synonym	10,19		
	1168	1385	Synonym	8,165,19		
	1172	1393	Synonym	8,8,19		
	712	890	Synonym	6,19		
	770	954	Synonym	10,10		
	784	970	Synonym	10,19		
	1207	1398	Synonym	28,32,19		
	28	54	Synonym	7,19		
	267	526	Synonym	17,19		
	703	879	Synonym	10,19		
	763	947	Synonym	73,19		
	768	952	Synonym	10,19		
	1280	1447	Synonym	28,14,19		
	234	521	Synonym	6,19		
	365	573	Synonym	83,19		
	747	930	Synonym	51,19		
	1307	1465	Synonym	21,45,19		
	102	468	Synonym	28,19		
	110	473	Synonym	28,48		
	779	963	Synonym	17,19		
	1018	1121	Synonym	59,138		
	169	499	Synonym	22,19		
	413	517	Synonym	17,19		
	718	896	Synonym	6,19		
	1240	1412	Synonym	21,100,19		
	129	478	Synonym	56,19		
	1113	1158	Synonym	17,162		
	1088	1160	Synonym	54,19		
	764	949	Synonym	10,19		
	1237	1410	Synonym	21,8,19		
	1045	1137	Synonym	17,131		
	75	444	Synonym	22,19		
	666	842	Synonym	106,19		
	809	986	Synonym	6,19		
	1259	1428	Synonym	8,8,19		
	361	568	Synonym	40,19		
	662	836	Synonym	105,19		
	746	928	Synonym	20,10		
	788	974	Synonym	10,19		
	1277	1445	Synonym	23,8,19		
	306	542	Synonym	20,24		
	664	839	Synonym	6,19		
	773	957	Synonym	10,19		
	673	849	Synonym	10,19		
	714	892	Synonym	10,19		
	85	454	Synonym	27,19		
	280	531	Synonym	20,19		
	300	540	Synonym	80,19		
	999	1116	Synonym	82,19		
	1247	1419	Synonym	74,168,19		
	167	497	Synonym	22,61		
	227	516	Synonym	59,6		
	337	553	Synonym	20,32		
	704	880	Synonym	16,19		
	1047	1138	Synonym	17,131		
	1238	1411	Synonym	8,8,19		
	698	874	Synonym	10,19		
	738	918	Synonym	10,19		
	1096	1164	Synonym	42,19		
	1264	1431	Synonym	8,169,19		
	16	49	Synonym	2,19		
	179	505	Synonym	37,19		
	809	987	Synonym	78,9		
	1108	1130	Synonym	154,128		
	1277	1446	Synonym	166,14,19		
	1291	1456	Synonym	21,28,19		
	1109	1133	Synonym	17,128		
	1199	1397	Synonym	28,32,19		
	18	50	Synonym	17,19		
	363	571	Synonym	64,19		
	694	870	Synonym	10,19		
	274	529	Synonym	17,19		
	719	897	Synonym	10,19		
	1230	1405	Synonym	21,8,19		
	724	905	Synonym	10,19		
	1308	1466	Synonym	21,28,19		
	168	498	Synonym	22,19		
	182	507	Synonym	20,19		
	203	510	Synonym	17,19		
	1049	1150	Synonym	62,128		
	1231	1406	Synonym	21,18,19		
	95	464	Synonym	43,19		
	692	868	Synonym	20,19		
	758	941	Synonym	73,19		
	720	898	Synonym	10,19		
	731	911	Synonym	16,19		
	1087	1159	Synonym	159,138		
	346	561	Synonym	7,69		
	361	569	Synonym	2,19		
	614	658	Synonym	10,10,19		
	746	929	Synonym	20,10		
	1288	1455	Synonym	21,79,19		
	89	458	Synonym	22,19		
	370	577	Synonym	22,19		
