ID	parentID	nameID	provisional	accordingToID	accordingToDate	referenceID	extinct	temporalRangeStart	temporalRangeEnd	lifezone	link	remarks
811	dde8e430-7487f-26e91-6d1eb-f1d324140	811	0		2019	111	0			Terrestrial		
1042	80eae935-1372d-ed78b-e2c34-41fa94d85	1042	0		2019	133	0			Terrestrial		
26cb4575-418be-5c379-524aa-bef4fd5b2	b725976c-58191-2a718-89626-4ba9f0303	26cb4575-418be-5c379-524aa-bef4fd5b2	false									
391	0f7eb93e-d1622-3694e-179b2-8e361597a	391	0		2019	2	0			Terrestrial		
737	7ce99f06-635dd-3d710-7864b-db47fb37d	737	0		2019	10	0			Terrestrial		
772	7ce99f06-635dd-3d710-7864b-db47fb37d	772	0		2019	2	0			Terrestrial		
262	f35a7655-4306b-31394-b89cc-8feaef976	262	0		2019	28	0			Terrestrial		
814	dde8e430-7487f-26e91-6d1eb-f1d324140	814	0		2019	79	0			Terrestrial		
1024	80eae935-1372d-ed78b-e2c34-41fa94d85	1024	0		2019	129	0			Terrestrial		
1248	7fa24171-44e87-1edd7-e95d8-ffa9b2e44	1248	0		2019		0			Terrestrial		
1314	72e0d009-398ba-7362f-baee5-e48a6eca0	1314	0		2019	21	0			Terrestrial		
194	f35a7655-4306b-31394-b89cc-8feaef976	194	0		2019	20	0			Terrestrial		
320	f35a7655-4306b-31394-b89cc-8feaef976	320	0		2019	70	0			Terrestrial		
26	d5cc6683-cdf62-83703-166e9-e90e24e7b	26	0		2019	6	0			Terrestrial		
82bd691e-e0f7b-09b8e-fe86f-f6c86369e	269ce968-6ba08-87132-21a63-e1170048f	82bd691e-e0f7b-09b8e-fe86f-f6c86369e	false									
999	8554ed7e-e0bbb-d2f22-0cd01-f6cb9b8b9	999	0		2019	82	0			Terrestrial		
711	7ce99f06-635dd-3d710-7864b-db47fb37d	711	0		2019	6	0			Terrestrial		
713	7ce99f06-635dd-3d710-7864b-db47fb37d	713	0		2019	10	0			Terrestrial		
752	7ce99f06-635dd-3d710-7864b-db47fb37d	752	0		2019	10	0			Terrestrial		
85	eab97acb-3abf1-ca2c5-7439f-d3f69762f	85	0		2019	27	0			Terrestrial		
269	f35a7655-4306b-31394-b89cc-8feaef976	269	0		2019	20	0			Terrestrial		
352	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	352	0		2019	83	0			Terrestrial		
629	bccd6869-ed1de-feb4a-db664-fb175e8bd	629	0		2019	10	0			Terrestrial		
701	7ce99f06-635dd-3d710-7864b-db47fb37d	701	0		2019	10	0			Terrestrial		
810	dde8e430-7487f-26e91-6d1eb-f1d324140	810	0		2019	10	0			Terrestrial		
1048	80eae935-1372d-ed78b-e2c34-41fa94d85	1048	0		2019	140	0			Terrestrial		
351	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	351	0		2019	69	0			Terrestrial		
595	77a24fb5-73808-00131-9c2e3-3987611b9	595	0		2019	12	0			Terrestrial		
753	7ce99f06-635dd-3d710-7864b-db47fb37d	753	0		2019	20	0			Terrestrial		
1103	1025	1103	0		2019	151	0			Terrestrial		
a8010abb-2d3a2-c0773-329a0-3790a9aa5	e764f3aa-700f3-5d902-883eb-f09919bb2	a8010abb-2d3a2-c0773-329a0-3790a9aa5	false									
1111	1051	1111	0		2019	23	0			Terrestrial		
120	b9a0faee-27c7e-94c8c-d97ff-2438f3615	120	0		2019	50	0			Terrestrial		
