ID	ReferenceType	ReferenceID
611	NomRef	17
612	NomRef	23
613	NomRef	79
614	NomRef	10
615	NomRef	12
616	NomRef	10
617	NomRef	10
618	NomRef	12
619	NomRef	12
620	NomRef	10
621	NomRef	10
622	NomRef	10
623	NomRef	10
624	NomRef	10
625	NomRef	12
626	NomRef	10
627	NomRef	10
628	NomRef	10
629	NomRef	10
630	NomRef	12
631	NomRef	103
632	NomRef	43
633	NomRef	103
634	NomRef	103
635	NomRef	104
636	NomRef	103
637	NomRef	43
638	NomRef	103
639	NomRef	103
640	NomRef	100
641	NomRef	6
642	NomRef	10
643	NomRef	6
644	NomRef	10
645	NomRef	6
646	NomRef	12
647	NomRef	12
648	NomRef	23
649	NomRef	10
650	NomRef	43
651	NomRef	10
652	NomRef	6
653	NomRef	6
654	NomRef	99
655	NomRef	6
656	NomRef	23
657	NomRef	79
658	NomRef	10
659	NomRef	100
652	TaxAccRef	19
653	TaxAccRef	19
654	TaxAccRef	19
655	TaxAccRef	19
656	TaxAccRef	19
657	TaxAccRef	19
658	TaxAccRef	19
659	TaxAccRef	19
660	NomRef	50
661	NomRef	10
662	NomRef	105
663	NomRef	10
664	NomRef	6
665	NomRef	20
666	NomRef	106
667	NomRef	10
668	NomRef	50
669	NomRef	10
670	NomRef	10
671	NomRef	10
672	NomRef	10
673	NomRef	10
674	NomRef	33
675	NomRef	6
676	NomRef	10
677	NomRef	10
678	NomRef	45
679	NomRef	49
680	NomRef	10
681	NomRef	10
682	NomRef	10
683	NomRef	28
684	NomRef	10
685	NomRef	20
686	NomRef	6
687	NomRef	10
688	NomRef	10
689	NomRef	6
690	NomRef	20
691	NomRef	27
692	NomRef	20
693	NomRef	10
694	NomRef	10
695	NomRef	7
696	NomRef	10
697	NomRef	33
698	NomRef	10
699	NomRef	33
700	NomRef	10
701	NomRef	10
702	NomRef	6
703	NomRef	10
704	NomRef	16
705	NomRef	9
706	NomRef	6
707	NomRef	10
708	NomRef	6
709	NomRef	57
710	NomRef	10
711	NomRef	6
712	NomRef	6
713	NomRef	10
714	NomRef	10
715	NomRef	20
716	NomRef	10
717	NomRef	10
718	NomRef	6
719	NomRef	10
720	NomRef	10
721	NomRef	71
722	NomRef	69
723	NomRef	20
724	NomRef	6
725	NomRef	10
726	NomRef	10
727	NomRef	10
728	NomRef	10
729	NomRef	10
730	NomRef	20
731	NomRef	16
732	NomRef	10
733	NomRef	49
734	NomRef	6
735	NomRef	10
736	NomRef	10
737	NomRef	10
738	NomRef	10
739	NomRef	6
740	NomRef	18
741	NomRef	10
742	NomRef	10
743	NomRef	17
744	NomRef	107
745	NomRef	10
746	NomRef	6
747	NomRef	51
748	NomRef	10
749	NomRef	49
750	NomRef	10
751	NomRef	10
752	NomRef	10
753	NomRef	20
754	NomRef	78
755	NomRef	10
756	NomRef	10
757	NomRef	10
758	NomRef	73
759	NomRef	10
760	NomRef	10
761	NomRef	10
762	NomRef	108
763	NomRef	73
764	NomRef	10
765	NomRef	45
766	NomRef	10
767	NomRef	28
768	NomRef	10
769	NomRef	6
770	NomRef	10
771	NomRef	20
772	NomRef	2
773	NomRef	10
774	NomRef	20
775	NomRef	10
776	NomRef	10
777	NomRef	10
778	NomRef	10
779	NomRef	17
780	NomRef	6
781	NomRef	10
782	NomRef	9
783	NomRef	6
784	NomRef	10
785	NomRef	20
786	NomRef	20
787	NomRef	20
788	NomRef	10
789	NomRef	20
790	NomRef	10
791	NomRef	50
792	NomRef	33
793	NomRef	26
794	NomRef	14
795	NomRef	109
796	NomRef	109
797	NomRef	109
798	NomRef	110
799	NomRef	110
800	NomRef	10
801	NomRef	51
802	NomRef	10
803	NomRef	10
804	NomRef	109
805	NomRef	10
806	NomRef	9
807	NomRef	10
808	NomRef	13
809	NomRef	6
810	NomRef	10
811	NomRef	111
812	NomRef	10
813	NomRef	13
814	NomRef	79
815	NomRef	6
816	NomRef	10
817	NomRef	10
818	NomRef	13
819	NomRef	10
820	NomRef	112
821	NomRef	112
822	NomRef	10
823	NomRef	33
