ReferenceID	Authors	Year	Title	Source
89	Koch C	1965	Missione 1962 del Prof Giuseppe Scorecci nell’Arabia meridionale Coleotteri Tenebrionidae Includendo materiale di viaggi in Arabia del Sig G Popov (1962) e del Dr G Benardelli (1962–63.	Atti della Società italiana di scienze naturali e del Museo civile di storia naturale 104: 99–154.
90	Koch C	1962c	Vierter taxonomischer Beitrag zur Kenntnis der Tenebrioniden Somalias: über die von Prof G Scortecci 1953 und 1957 in der Migiurtinia Provinz gesammelten Arten. 	Atti della Società italiana di scienze naturali e del Museo civile di storia naturale 101: 237–270.
91	Kolbe HJ	1904	Über einige interessante Lamellicornier und Tenebrioniden Afrikas. 	Berliner entomologische Zeitschrift 49: 282–302.
92	Kaszab Z	1963	Angaben zur Kenntnis der Tenebrioniden des Tschadsee-Gebietes, nebst einer Revision der afrikanischen Mesomorphus-Arten (Coleoptera).	Revue de zoologie et de botanique africaines 67: 341–387.
93	Fabricius JC	1787	Mantissa Insectorum sistens eorum species detectas, adiectis characteribus, genericis, differentiis specificis, emendationibus, observationibus. Tom 1. 	Christ. Gottl. Proft, Hafniae, 348 pp.  
94	Kolbe HJ	1891	Aufzählung der von Herrn Dr. Hans Meyer im Jahre 1889 im Gebiete des Kilimandscharo- und Ugueno-Gebirges gesammelten Coleopteren Stettiner.	Entomologische Zeitung 52: 18–36.
95	Guérin-Méneville FE	1854	Description de quelques insectes les plus remarquables du Pays des Boshimans, des Ama-Zoulous, des Massilicatzi et du Port Natal.	Revue Zoologique 8: 283-286.
96	Thunberg CP	1821	Opatrum Insecti genus.	Reg. Academiae Typographi, Uppsaliae, i–v, 27–34.
97	Fairmaire L	1891a	Notes sur quelque Coléoptères de l’Afrique intertropicale et descriptions d’espèces nouvelles. 	Annales de la Société Entomologique de France 60: 231–274.
98	Amyot CJB	1835	M. de Pierret. M. Pierreti. Seville.	Magazin de Zoologie 9: pl. 129.
99	Gebien H	1938a	Die Tenebrioniden (Coleoptera Heteromera) der Namibwüste in Südwestafrika. 	Abhandlungen herausgegeben vom Naturwissenschaftlichen Verein zu Bremen 30: 20–107.
100	Hesse AJ	1935	Scientific results of the Vernay-Lang Kalahari Expedition, March to September, 1930. Tenebrionidae (Coleoptera).	Annals of the Transvaal Museum 16: 525–579.
101	Ferrer J	2009	The types of darkling beetles (Coleoptera: Tenebrionidae) described by Thunberg (1821, 1827) in Coleoptera Capensia and other papers, with taxonomic comments.	Boletin Sociedad Entomológica Aragonesa 44: 111–129.
102	Ferrer J, Holston K	2009	Identities of Tenebrio Linnaeus types at Uppsala, and the resulting changes in old darkling beetle names (Insecta: Coleoptera: Tenebrionidae).	 Zootaxa 2308: 29–42.
103	Kaszab Z	1972	The scientific results of Hungarian Zoological Expedition to Tanganyika. 15. Coleoptera: Tenebrionidae.	Annales historico-naturales Musei nationalis hungarici 63: 225–238.
104	Ferrer, 2004b	2004b	Tenebriónidos nuevos o interesantes del Museo de Génova (Coleoptera).	Annali del Musei Civico do Storia Naturale Giacomo Doria 96: 507–546.
105	Guérin-Méneville FE	1844	Insectes Magasin de Zoologie, D’ Anatomie Comparee et de Paleontologie.	Recueil, 377 pp. 
106	Ancey CF	1883	Contributions à la faune de l’Afrique Orientale Descriptions de Coléoptères nouveaux.	Il Naturalista Siciliano 2: 116–120.
107	Billberg CJ	1815	Insecta ex ordine coleopterorum descripta. Uppsala Kungliga Vetenskapliga Sällskapet.	Nova Acta 2: 271–281. 
108	Westwood JO	1864	[new species description].	Proceedings of the Zoological Society of London, 1864
109	Penrith M-L	1987	Revision of the genus Tarsocnodes Gebien (Coleoptera: Tenebrionidae: Molurini), and a description of a monotypical genus from the Kalahari.	Cimbebasia Series 7: 236–270.  
110	Müller CL	1887	Vierzehn neue Heteromeren von Bradshaw im Zambesi-Gebiete aufgefunden, mit Abbildungen von van de Poll. 	Tijdschrift voor entomologie 30: 297–308. 
111	Ferrer J, Evanno C, Evanno A	2010	Description of a new species of Tarsocnodes Gebien Coleoptera, Tenebrionidae, Molurini from Congo.	Boletin de la Sociedad Entomológica Aragonesa 47: 195–198.
112	Koch C	1954b	The Tenebrionidae of southern Africa XXVI New Port. East African species collected by Dr A J Barbosa. 	Revista da faculdade de ciencias, Universidade de Lisboa. Serie C. Ciencias Naturais 3: 239–310. 
113	Kolbe HJ	1883	Neue Coleoptera von Westafrika. 	Berliner entomologische Zeitschrift 27: 15–36.
114	Ardoin P	1979	Mission Balachowsky-Menier dan l’ancien territoire Français des Afars et des Issas. 	Bulletin de la Société Entomologique de France 8 4: 58–61.
115	Ferrer J	1995	Contribution to the knowledge of the Tenebrionidae of Somalia (Coleoptera).	Frustula Entomologica 18: 1–76.
116	Chevrolat	1874	Nouvelle espèce d’Échinotus. Genre voisin de Sepidium.	Revue et Magasin de Zoologie 3: 331.
117	Gestro R	1892	Di alcuni Coleotteri raccolti nel paese dei Somali. 	Annali del Museo Civico di Storia Naturale di Genova 32: 747–790.
118	Gestro R	1898	Contribuzione allo studio dei Sepidiini.	Annali del Museo Civico di Storia Naturale di Genova 34: 512–158.
119	Guérin-Méneville FE	1858	Description de deux coléoptères du genre Sepidium, dont l’un est pentamère et paraít étre le male, et l’autre est hétéromère.	Revue de Zoologie Pure et Appliquée (2) 10: 127–129. 
120	Escalera MM	1913	Una campaña entomológica en el Susy descripción de los coléopteros recogidos en ella.	Trabajos del Museo de Ciencias Naturales (Serie Zoologica) 8: 1–56. 
121	Erichson WF	1841	Über die Insecten von Algier mit besonderer Rücksicht auf ihre geographische Verbreitung.	In: Wagner MF (Ed.) Reisen in der Regentschaft Algier 1836, 1837 und 1838 nebst einem naturhistorischen Anhang und einem Kupferatlas. Dritter Band. L. Voss, Leipzig, 140–194. 
122	Fairmaire L	1871	Essai sur les Coléoptères de Barbarie.	Annales de la Société entomologique de France 10: 369–404. 
123	Mal N	1986b	Description de deux espèces nouvelles du genre “Sepidium” Fabricius, 1755 (Coleoptera Tenebrionidae). 	Atti del Museo Civico di Storia Naturale di Trieste 39: 151–157. 
124	Desbrochers des Loges J	1881	Insectes coléoptères du nord de l’Afrique nouveaux ou peu connus. ler Mémoire. Ténébrionides. 	Bulletin de I’Academie d’Hippone 16: 51–168.
125	Gestro R	1878	Diagnosi di alcune specie nuove di Coleotteri dell’Abssinia e del paese dei Somali. 	Annali del Museo Civico de Storia Naturale 13: 318–322.
126	Schuster A,	1928	Neue Tenebrioniden aus Cyrenaica (IV). 	Bollettino della Società Entomologica Italiana 60: 122–124.
127	Crotch GR	1872	List of the Coleoptera found during the Progress of the Survey.	In: Wilson CW, Palmer HS (Eds) Ordnance Survey of the Peninsula of Sinai. Vol. 1. Ordnance Survey Office, Southampton, 263–268.
128	Kwieton E	1980	Synopsis des espèces du genre Sepidium F. d’Algerie et de Tunisie (Col., Tenebrionidae).	Annotationes Zoologicae et Botanicae, 138: 1–19.
129	Escalera MM	1911	Coleópteros nuevos del S.W. de Marruecos.	Boletín de la Real Sociedad Española de Historia Natural 11: 299–304.
130	Antoine M	1932	Notes d’entomologie Marocaine. 	Bulletin de la Société des Sciences Naturelles du Maroc 12: 173–188. 
131	Reitter E	1914	Bestimmungs-Tabelle der Tenebrioniden-Abteilung der Sepidiini.	Deutsche entomologische Zeitschrift 1914: 381–392.
132	Mal N	1990	Description d’une espèce nouvelle du genre Sepidium Fabricius, 1775 (Coleoptera, Tenebrionidae).	Lambillionea 90: 64–67.
133	Fairmaire L	1893	Notes sur quelques Coléoptères des pays Somalis. 	Annales de la Société Entomologique de Belgique 37(4): 144–156. 
134	Kaszab Z, Pinheiro MFV	1972	Uma nova especie de Sepidium (Coleoptera, Tenebrionidae) em Portugal. Eine neue Sepidium Art (Coleoptera, Tenebrionidae) aus Portugal.	Estudos e Divulgaçao Téchnica (C) Entomologia forestall 1972: 5–17. 
135	Ferrer & Martínez, 2012	2012	Contribución al concimiento del género Trachynotus Latreille: un caso de homonimia en el género Sepidium Fabricius (Coleoptera: Tenebrionidae: Pimeliinae). 	Boletin Sociedad Entomológica Aragonesa 51: 283–287.
136	Escalera MM	1914	Los coleópteros de Marruecos.	Trabajos del Museo Nacionál de Ciencias Naturales Série Zoológica (Madrid) 11: 1–553.
137	Karsch F	1881	Die Käfer der Rohlfs’schen Afrikanischen Expedition 1878–79.	Berliner Entomologische Zeitschrift 25: 41–50. 
